xetdata/xethub.git  Python and npm Dependencies,,
add-asset-webpack-plugin,2.0.1,MIT
anyio,4.4.0,MIT
appnope,0.1.4,BSD-1-Clause; BSD-3-Clause
argon2-cffi,23.1.0,MIT
argon2-cffi-bindings,21.2.0,MIT
arrow,1.3.0,Apache-2.0
asttokens,2.4.1,Apache-2.0
async-lru,2.0.4,MIT
attrs,23.2.0,MIT
axios,1.3.6,MIT
Babel,2.15.0,BSD-3-Clause
beautifulsoup4,4.12.3,MIT
bleach,6.1.0,Apache-2.0
bootstrap,3.4.0,MIT
certifi,2024.6.2,MPL-2.0
cffi,1.16.0,MIT
charset-normalizer,3.3.2,MIT
@claviska/jquery-minicolors,2.3.6,MIT
cloudpickle,3.0.0,BSD-3-Clause
codemirror,5.65.1,MIT
comm,0.2.2,BSD-3-Clause
css-loader,6.7.1,MIT
debugpy,1.8.1,MIT
decorator,5.1.1,BSD-3-Clause
defusedxml,0.7.1,Python-2.0
doit,0.36.0,MIT
dropzone,6.0.0-beta.2,MIT
easymde,2.16.1,MIT
esbuild-loader,2.19.0,MIT
escape-goat,4.0.0,MIT
executing,2.0.1,MIT
fast-glob,3.2.11,MIT
fastjsonschema,2.19.1,BSD-3-Clause
fomantic-ui,2.8.7,MIT; Multi-license: MIT OR undefined
font-awesome,4.7.0,Multi-license: MIT OR OFL-1.1
fqdn,1.5.1,MPL-2.0
h11,0.14.0,MIT
httpcore,1.0.5,BSD-3-Clause
httpx,0.27.0,BSD-3-Clause
idna,3.7,BSD-3-Clause
iframe-resizer,4.3.6,MIT
importlib-metadata,7.1.0,Apache-2.0
ipykernel,6.29.4,BSD-3-Clause
ipython,8.25.0,BSD-3-Clause
ipywidgets,8.1.3,BSD-3-Clause
isoduration,20.11.0,ISC
jedi,0.19.1,MIT
Jinja2,3.1.4,BSD-3-Clause
jquery,3.6.0,MIT
jquery.are-you-sure,1.9.0,MIT
json5,0.9.25,MIT; Apache-2.0
jsonpointer,3.0.0,BSD-3-Clause
jsonschema,4.22.0,MIT
jsonschema-specifications,2023.12.1,MIT
jupyter,1.0.0,BSD-3-Clause
jupyter-client,8.6.2,BSD-3-Clause
jupyter-console,6.6.3,BSD-3-Clause
jupyter-core,5.7.2,BSD-3-Clause
jupyter-events,0.10.0,BSD-3-Clause
jupyterlab,4.2.2,BSD-3-Clause
@jupyterlab/application,4.2.3,BSD-3-Clause
@jupyterlab/apputils,4.3.3,BSD-3-Clause
@jupyterlab/outputarea,4.2.3,BSD-3-Clause
jupyterlab-pygments,0.3.0,BSD-3-Clause
@jupyterlab/rendermime,4.2.3,BSD-3-Clause
jupyterlab-server,2.27.2,BSD-3-Clause
@jupyterlab/services,7.2.3,BSD-3-Clause
jupyterlab-widgets,3.0.11,BSD-3-Clause
jupyterlite-core,0.3.0,BSD-3-Clause
jupyterlite-pyodide-kernel,0.3.2,BSD-3-Clause
jupyter-lsp,2.2.5,BSD-3-Clause
jupyter-server,2.14.1,BSD-3-Clause
jupyter-server-terminals,0.5.3,BSD-3-Clause
less,4.1.2,Apache-2.0
less-loader,11.0.0,MIT
license-checker-webpack-plugin,0.2.1,MIT
MarkupSafe,2.1.5,BSD-3-Clause
matplotlib-inline,0.1.7,BSD-3-Clause
mermaid,9.1.1,MIT
mini-css-extract-plugin,2.6.0,MIT
mistune,3.0.2,BSD-3-Clause
monaco-editor,0.33.0,MIT
monaco-editor-webpack-plugin,7.0.1,MIT
nbclient,0.10.0,BSD-3-Clause
nbconvert,7.16.4,BSD-3-Clause
nbformat,5.10.4,BSD-3-Clause
nest-asyncio,1.6.0,BSD-3-Clause; BSD-2-Clause
notebook,7.2.1,BSD-3-Clause
notebook-shim,0.2.4,BSD-3-Clause
overrides,7.7.0,Apache-2.0
packaging,24.1,Apache-2.0; BSD-3-Clause; BSD-2-Clause
pandocfilters,1.5.1,BSD-3-Clause
parso,0.8.4,PSF-2.0; MIT
pexpect,4.9.0,ISC
pkginfo,1.11.1,MIT
platformdirs,4.2.2,MIT
plotly,5.22.0,MIT
pretty-ms,7.0.1,MIT
@primer/octicons,17.2.0,MIT
prometheus-client,0.20.0,Apache-2.0
prompt-toolkit,3.0.47,BSD-3-Clause
psutil,5.9.8,BSD-3-Clause
ptyprocess,0.7.0,ISC
pure-eval,0.2.2,MIT
pycparser,2.22,BSD-3-Clause
Pygments,2.18.0,BSD-2-Clause
python-dateutil,2.9.0.post0,BSD-3-Clause; Apache-2.0
python-json-logger,2.0.7,BSD-2-Clause; BSD-3-Clause
PyYAML,6.0.1,MIT
pyzmq,26.0.3,BSD-3-Clause
qtconsole,5.5.2,BSD-3-Clause
QtPy,2.4.1,MIT
referencing,0.35.1,MIT
requests,2.32.3,Apache-2.0
rfc3339-validator,0.1.4,MIT
rfc3986-validator,0.1.1,MIT
rpds-py,0.18.1,MIT
Send2Trash,1.8.3,BSD-3-Clause
six,1.16.0,MIT
sl-vue-tree,1.8.5,MIT
sniffio,1.3.1,MIT; BSD-3-Clause; Apache-2.0
sortablejs,1.15.0,MIT
soupsieve,2.5,MIT
stack-data,0.6.3,MIT
swagger-ui-dist,4.11.1,Apache-2.0
terminado,0.18.1,BSD-2-Clause
tinycss2,1.3.0,BSD-3-Clause
tornado,6.4.1,Apache-2.0
traitlets,5.14.3,BSD-3-Clause
tributejs,5.1.3,MIT
types-python-dateutil,2.9.0.20240316,Apache-2.0
@types/react,18.3.3,MIT
typing-extensions,4.12.2,Python-2.0; 0BSD
uint8-to-base64,0.2.0,ISC
uri-template,1.3.0,MIT
urllib3,2.2.1,MIT
vue,2.7.14,MIT
vue-axios,3.5.2,MIT
vue-bar-graph,1.3.1,MIT
vue-calendar-heatmap,0.8.4,MIT
vue-loader,15.9.8,MIT
vue-template-compiler,2.7.14,MIT
wcwidth,0.2.13,MIT
webcolors,24.6.0,BSD-3-Clause
webencodings,0.5.1,BSD-3-Clause
webpack,5.72.1,MIT
webpack-cli,4.9.2,MIT
websocket-client,1.8.0,Apache-2.0
widgetsnbextension,4.0.11,BSD-3-Clause
workbox-routing,6.5.3,MIT
workbox-strategies,6.5.3,MIT
worker-loader,3.0.8,MIT
wrap-ansi,8.0.1,MIT
yjs,13.6.18,MIT
zipp,3.19.2,MIT
