xetdata/xethub.git  Rust Dependencies,,
anyhow,1.0.86,MIT; Apache-2.0
approx,0.5.1,Apache-2.0
async-scoped,0.7.1,MIT; Apache-2.0
async-trait,0.1.81,Apache-2.0; MIT
atoi,1.0.0,MIT
atty,0.2.14,MIT
base64,0.13.1,MIT; Apache-2.0
binary-heap-plus,0.5.0,MIT
bincode,1.3.3,MIT
bitflags,1.3.2,Multi-license: Apache-2.0 OR MIT; Apache-2.0
blake3,1.5.3,Apache-2.0; CC0-1.0
byteorder,1.5.0,MIT
bytes,1.6.1,MIT
cache,0.14.1,BSD-3-Clause
chrono,0.4.38,MIT; Apache-2.0
clap,2.34.0,MIT
clap,3.2.25,MIT; Apache-2.0
colored,2.1.0,MPL-2.0
config,0.13.4,MIT; Apache-2.0
const_format,0.2.32,Zlib
crossterm,0.25.0,MIT
csv-core,0.1.11,MIT
ctrlc,3.4.4,MIT; Apache-2.0
cxx,1.0.124,MIT; Apache-2.0
deadpool,0.9.5,MIT; Apache-2.0
deadqueue,0.2.4,MIT; Apache-2.0
dirs,4.0.0,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
enum_dispatch,0.3.13,MIT
fallible-iterator,0.2.0,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
filetime,0.2.23,MIT; Apache-2.0
float-cmp,0.9.0,MIT
futures,0.3.30,MIT; Apache-2.0
futures-core,0.3.30,MIT; Apache-2.0
gearhash,0.1.3,MIT; Apache-2.0
generic-array,0.14.7,MIT
git2,0.18.2,MIT; Apache-2.0
git-url-parse,0.4.4,MIT
git-version,0.3.9,BSD-2-Clause
glob,0.3.1,MIT; Apache-2.0
hashbrown,0.12.3,MIT; Apache-2.0
hashring,0.3.5,MIT
heed,0.11.0,MIT
hex,0.4.3,Apache-2.0; MIT; Multi-license: Apache-2.0 OR MIT
http,0.2.12,Apache-2.0; MIT
http-body-util,0.1.2,MIT
humantime,2.1.0,MIT; Multi-license: Apache-2.0 OR MIT; Apache-2.0
hyper,0.14.30,MIT
hyper,1.4.1,MIT
hyper-rustls,0.26.0,MIT; Apache-2.0; unknown; ISC
hyper-util,0.1.6,MIT
imara-diff,0.1.6,Apache-2.0
intaglio,1.8.0,MIT
is_executable,1.0.1,MIT; Apache-2.0
itertools,0.10.5,MIT; Apache-2.0
itertools,0.12.1,MIT; Apache-2.0
lazy_static,1.5.0,MIT; Apache-2.0
len-trait,0.6.1,CC0-1.0
libc,0.2.155,MIT; Apache-2.0
lru,0.7.8,MIT
lz4,1.25.0,MIT
memchr,2.7.4,MIT
merkledb,0.14.1,BSD-3-Clause
mockall,0.11.4,MIT; Apache-2.0
mockall_double,0.3.1,MIT; Apache-2.0
more-asserts,0.3.1,MIT; Apache-2.0; CC0-1.0; Unlicense
nfsserve,0.10.2,BSD-3-Clause
normalize-path,0.1.0,Apache-2.0; MIT
once_cell,1.19.0,MIT; Apache-2.0
openssl,0.10.64,Apache-2.0
openssl-probe,0.1.5,MIT; Apache-2.0
opentelemetry,0.17.0,Apache-2.0
opentelemetry-http,0.6.0,Apache-2.0
opentelemetry-jaeger,0.16.0,Apache-2.0
parking_lot,0.11.2,Apache-2.0; MIT
pathdiff,0.2.1,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
pbr,1.1.1,MIT
phf,0.11.2,MIT
pin-project,1.1.5,Apache-2.0; MIT
predicates,2.1.5,MIT; Apache-2.0
proc-macro2,1.0.86,MIT; Apache-2.0
prometheus,0.13.4,Apache-2.0
prost,0.12.6,Apache-2.0
prost-types,0.12.6,Apache-2.0
quote,1.0.36,MIT; Apache-2.0
rand,0.8.5,MIT; Apache-2.0
rand_chacha,0.3.1,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
rand_core,0.6.4,MIT; Apache-2.0
rayon,1.10.0,MIT; Apache-2.0
regex,1.10.5,MIT; Apache-2.0
reqwest,0.11.27,MIT; Apache-2.0
ring,0.16.20,Multi-license: ISC OR MIT OR OpenSSL
ron,0.6.6,MIT; Multi-license: Apache-2.0 OR MIT; Apache-2.0
roxmltree,0.19.0,MIT; Apache-2.0
rustc-hash,1.1.0,Apache-2.0; MIT
rustls-pemfile,2.1.2,MIT; ISC; unknown; Apache-2.0
rustversion,1.0.17,Apache-2.0; MIT
safe-transmute,0.11.3,MIT
same-file,1.0.6,MIT
serde,1.0.204,MIT; Apache-2.0
serde_json,1.0.120,MIT; Apache-2.0
serde_with,1.14.0,MIT; Apache-2.0
sha3,0.9.1,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
shellexpand,1.1.1,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
slog,2.7.0,Apache-2.0; MPL-2.0; MIT
slog-async,2.8.0,MPL-2.0; MIT; Apache-2.0
slog-json,2.6.1,MPL-2.0; MIT; Apache-2.0
snailquote,0.3.1,GPL-3.0-only
sorted-vec,0.8.3,Apache-2.0
structopt,0.3.26,MIT; Apache-2.0
syn,2.0.71,MIT; Apache-2.0
sysinfo,0.26.9,MIT
tabled,0.12.2,MIT
tempdir,0.3.7,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT
tempfile,3.10.1,MIT; Apache-2.0
tokio,1.38.0,MIT
tokio-native-tls,0.3.1,MIT
tokio-retry,0.3.0,MIT
tokio-rustls,0.25.0,MIT; Apache-2.0
tokio-stream,0.1.15,MIT
toml,0.5.11,MIT; Apache-2.0
tonic,0.10.2,MIT
tower,0.4.13,MIT
tracing,0.1.40,MIT
tracing-attributes,0.1.27,MIT
tracing-futures,0.2.5,MIT
tracing-opentelemetry,0.17.4,MIT
tracing-subscriber,0.3.18,MIT
tracing-test,0.2.5,Apache-2.0; MIT
truncrate,0.1.3,MIT; Apache-2.0
url,2.5.2,Apache-2.0; MIT
utime,0.3.1,Apache-2.0; MIT
uuid,1.10.0,MIT; Apache-2.0
version-compare,0.1.1,MIT
walkdir,2.5.0,MIT
whoami,1.5.1,MIT; BSL-1.0; Apache-2.0
winapi,0.3.9,Multi-license: Apache-2.0 OR MIT; Apache-2.0; MIT